,bat_team_Chennai Super Kings,bat_team_Delhi Daredevils,bat_team_Kings XI Punjab,bat_team_Kolkata Knight Riders,bat_team_Mumbai Indians,bat_team_Rajasthan Royals,bat_team_Royal Challengers Bangalore,bat_team_Sunrisers Hyderabad,bowl_team_Chennai Super Kings,bowl_team_Delhi Daredevils,bowl_team_Kings XI Punjab,bowl_team_Kolkata Knight Riders,bowl_team_Mumbai Indians,bowl_team_Rajasthan Royals,bowl_team_Royal Challengers Bangalore,bowl_team_Sunrisers Hyderabad,overs,runs,wickets,runs_last_5,wickets_last_5
122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19.5,216,3,68,1
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19.6,222,3,68,1
156,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.1,46,1,45,1
157,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2,52,1,51,1
158,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.3,52,1,47,1
159,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.4,53,1,48,1
160,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,53,1,44,1
161,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.6,53,1,40,1
162,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.1,57,1,40,1
163,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2,57,2,38,2
164,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,58,2,38,2
165,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,60,2,40,2
166,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,61,2,41,2
167,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6,62,2,42,2
168,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.1,62,3,37,3
169,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,63,3,38,3
170,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,63,3,37,3
171,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,64,3,38,2
172,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,70,3,43,2
173,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,70,3,43,2
174,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.1,71,3,44,2
175,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.2,75,3,48,2
176,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,76,3,48,2
177,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.4,76,3,47,2
